Repeat,Fold,Clinical,RNA,Multimodal,RNA - Clinical,Multimodal - Clinical,Multimodal - RNA
1,1,0.8163265306122449,0.6827861579414375,0.8349600709849158,-0.13354037267080743,0.018633540372670843,0.15217391304347827
1,2,0.7487468671679198,0.7096908939014203,0.7368421052631579,-0.039055973266499566,-0.011904761904761973,0.027151211361737593
1,3,0.8531420765027322,0.7581967213114754,0.8164845173041895,-0.0949453551912568,-0.036657559198542744,0.05828779599271405
1,4,0.8361542078044194,0.7150916784203103,0.8100611189468735,-0.12106252938410911,-0.02609308885754591,0.0949694405265632
1,5,0.8205753291077523,0.7220867869332033,0.7454900048756704,-0.09848854217454905,-0.07508532423208192,0.023403217942467136
2,1,0.8433211344922232,0.7067703568161025,0.7996340347666971,-0.13655077767612078,-0.04368709972552609,0.09286367795059469
2,2,0.7942008486562943,0.7496463932107497,0.8401697312588402,-0.044554455445544594,0.045968882602545946,0.09052333804809054
2,3,0.817791147400086,0.7804039535883112,0.8715083798882681,-0.0373871938117748,0.053717232488182165,0.09110442629995696
2,4,0.748567650947554,0.6690171881886293,0.7633318642573821,-0.07955046275892463,0.014764213309828134,0.09431467606875277
2,5,0.8147268408551069,0.7292161520190024,0.7966745843230404,-0.08551068883610458,-0.018052256532066546,0.06745843230403803
3,1,0.8569941715237303,0.7210657785179018,0.8147377185678601,-0.13592839300582849,-0.042256452955870105,0.09367194004995838
3,2,0.8406954887218046,0.730733082706767,0.8200187969924813,-0.1099624060150376,-0.020676691729323293,0.0892857142857143
3,3,0.8176579068695251,0.7284462886122637,0.7925311203319502,-0.08921161825726143,-0.02512678653757494,0.06408483171968649
3,4,0.8189972401103955,0.6858325666973321,0.8072677092916284,-0.13316467341306348,-0.011729530818767153,0.12143514259429633
3,5,0.7178719484108705,0.7098111469368954,0.7088899124827268,-0.008060801473975143,-0.008982035928143728,-0.0009212344541685846
4,1,0.8184593705965242,0.6491310474401127,0.7332080789102865,-0.16932832315641144,-0.08525129168623768,0.08407703147017376
4,2,0.8297682709447415,0.7468805704099821,0.8360071301247772,-0.08288770053475936,0.00623885918003575,0.0891265597147951
4,3,0.7981393336218088,0.7485936823885764,0.7810471657291216,-0.0495456512332324,-0.017092167892687193,0.03245348334054521
4,4,0.7585353785254825,0.7451756556160317,0.7911924789708066,-0.013359722909450755,0.032657100445324105,0.04601682335477486
4,5,0.8600525624178712,0.7196671046868156,0.8418747262374069,-0.1403854577310556,-0.018177836180464313,0.12220762155059128
5,1,0.8654276757725033,0.7142857142857143,0.8007165248544559,-0.15114196148678904,-0.06471115091804747,0.08643081056874158
5,2,0.8544018058690744,0.7336343115124153,0.8293453724604967,-0.12076749435665912,-0.025056433408577772,0.09571106094808135
5,3,0.8399004562422231,0.6636250518457072,0.8228950642886769,-0.1762754043965159,-0.017005391953546223,0.15927001244296968
5,4,0.7803442028985508,0.7024456521739131,0.7463768115942029,-0.0778985507246377,-0.033967391304347894,0.0439311594202898
5,5,0.7246819338422392,0.7307888040712468,0.7872773536895674,0.006106870229007577,0.0625954198473282,0.056488549618320616
6,1,0.8302540415704388,0.7080831408775982,0.7833718244803695,-0.12217090069284064,-0.046882217090069345,0.0752886836027713
6,2,0.7798786181139122,0.7474323062558357,0.795985060690943,-0.03244631185807656,0.016106442577030755,0.048552754435107315
6,3,0.7977346278317152,0.7193712436430884,0.8132223763291725,-0.07836338418862687,0.015487748497457265,0.09385113268608414
6,4,0.8179933665008292,0.7417081260364843,0.814262023217247,-0.07628524046434493,-0.003731343283582156,0.07255389718076277
6,5,0.831766917293233,0.7222744360902256,0.8524436090225563,-0.10949248120300747,0.020676691729323293,0.13016917293233077
7,1,0.8428246013667426,0.743507972665148,0.828246013667426,-0.09931662870159463,-0.014578587699316636,0.084738041002278
7,2,0.7897286821705426,0.7325581395348837,0.7592054263565892,-0.057170542635658905,-0.03052325581395343,0.026647286821705474
7,3,0.8096126924871675,0.6467568828744751,0.7755482967802146,-0.16285580961269241,-0.034064395706952855,0.12879141390573956
7,4,0.8554636482368306,0.6835002176752285,0.8384849804092295,-0.17196343056160213,-0.016978667827601157,0.15498476273400097
7,5,0.7851185250219491,0.7467076382791923,0.7875329236172081,-0.03841088674275683,0.0024143985952589375,0.04082528533801577
8,1,0.8677390527256479,0.7332439678284183,0.8114387846291331,-0.1344950848972296,-0.05630026809651478,0.07819481680071483
8,2,0.8305766651765758,0.7027268663388466,0.8417523468931605,-0.12784979883772918,0.011175681716584673,0.13902548055431385
8,3,0.775088809946714,0.6705150976909414,0.7357904085257548,-0.10457371225577261,-0.039298401420959195,0.06527531083481342
8,4,0.8081164534627261,0.7348919276576974,0.8270842523158359,-0.0732245258050287,0.01896779885310984,0.09219232465813854
8,5,0.7821463897131553,0.6582591493570722,0.7769535113748763,-0.12388724035608312,-0.005192878338278972,0.11869436201780414
9,1,0.8470046082949308,0.7064516129032258,0.8092165898617512,-0.14055299539170507,-0.03778801843317969,0.10276497695852538
9,2,0.7748283752860412,0.7006864988558352,0.7606407322654463,-0.07414187643020598,-0.014187643020594942,0.059954233409611035
9,3,0.7712039718659496,0.7571369466280513,0.8125775755068266,-0.014067025237898267,0.041373603640877055,0.05544062887877532
9,4,0.8357466063348417,0.714027149321267,0.7696832579185521,-0.12171945701357467,-0.06606334841628958,0.05565610859728509
9,5,0.8513243378310844,0.7556221889055472,0.8385807096451774,-0.09570214892553719,-0.012743628185907019,0.08295852073963017
10,1,0.7469795539033457,0.7044609665427509,0.8062267657992565,-0.04251858736059477,0.059247211895910756,0.10176579925650553
10,2,0.8274840474020054,0.7060164083865087,0.8231540565177757,-0.12146763901549673,-0.004329990884229695,0.11713764813126704
10,3,0.80970625798212,0.7194550872711792,0.7343550446998723,-0.0902511707109408,-0.0753512132822477,0.0148999574286931
10,4,0.8593539703903096,0.6998654104979811,0.8398384925975774,-0.15948855989232846,-0.019515477792732216,0.13997308209959625
10,5,0.7971400872515754,0.7556955889481338,0.7813863305865245,-0.041444498303441546,-0.015753756665050855,0.02569074163839069
